"Topic Title","Topic Description","Topic Number",Phase,Program,Agency,Branch,"Close Date","Release Date","Open Date","Solicitation Agency URL","Solicitation Status","Solicitation Year",SBIRTopicLink
"Portable Digital Metrology System for Measurement of Defects on Optically Transparent Canopies and Windscreens","Scratches and pits to the acrylic outer ply of canopies and windscreens cause optical distortion as well as structural vulnerability, and these types of damage cause significant readiness degradation. Repair methods for these defects are dependent on the severity of the damage which is determined by the dimensions of the defect. Currently available repair methods are limited and repair limitations are stringent and highly dependent on the severity of the defect. Inaccurate measurements could be the difference between a repairable asset and a scrapped transparency. Currently the only portable method for characterizing defects on aircraft transparencies is an optical micrometer. This tool is user-dependent, not ergonomic, and requires extensive training to be performed accurately. Due to the transparent material, it is also difficult to perform measurements with an optical micrometer on-aircraft or in outdoor environments and requires the removal of the canopy or windshield.   Candidate measurement concepts shall be executable on aircraft and capable of performing defect measurements (e.g., scratch defect with length 1”, width << 0.125”, and approx. depth of 0.100”) on optically transparent materials.",DON26BZ05-NV073,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12856
"Open, Layered, Yielding Modular Platform for Unified Systems","The current operational portfolio encompasses a large and diverse set of systems, many of which were developed piecemeal over time. This fragmented development history poses significant challenges to both sustainment and modernization efforts. The use of multiple, disparate systems performing similar or identical functions has resulted in a complex and costly “logistics tail”, extensive technical documentation, and redundant training programs. This duplication increases costs, reduces efficiency, and heightens the risk of obsolescence. Additionally, the lack of commonality between systems hinders the integration of new capabilities and technologies, as each system requires unique modifications. This slows innovation and limits the ability to leverage advancements in automation, artificial intelligence (AI), and digital engineering. Ultimately, the lack of interoperability within portfolio creates a fragmented, inefficient, and costly development and sustainment environment, negatively impacting warfighter readiness and effectiveness.  To address these challenges, PMA-213 is developing a portfolio-wide architecture, referred to as Zeus, which functions as a system of systems (SoS). Zeus will provide a modular and open digital and hardware framework capable of delivering varying levels of service and functionality based on specific mission requirements. This architecture will enable data fusion, redundancy, and seamless integration of individual apertures and below-deck infrastructure, tailored to each ship’s mission set. By adopting an open and modular design, Zeus will support future cost savings, accelerated modernization, and enhanced interoperability across the fleet. OLYMPUS is a sub-project of Zeus focusing on the below deck ship infrastructure.  OLYMPUS will enhance situational awareness, streamline decision-making, and improve fleet-wide interoperability through advanced data fusion, real-time analytics, and secure communication networks. By leveraging cutting-edge technologies such as AI, machine learning (ML), and digital engineering, OLYMPUS will ensure naval operations are resilient, adaptive, and capable of addressing emerging threats in complex and context environments.   In addition to operational benefits, OLYMPUS aims to achieve significant long-term cost savings and cost avoidance across portfolio by increasing commonality in parts, enabling quantity buys, and simplifying maintenance requirements. For example, standardizing hardware procurement to allow the purchase of twenty-five (25) computers for use across five systems, rather than five different computers for five systems. These efficiencies will impact all air-capable fleet platforms, including CVNs, L-Class ships, and DDGs, optimizing readiness and sustainment across the fleet.  The transition of OLYMPUS technology and architecture will primarily occur through routine sustainment efforts and technology refreshes within. With government ownership of the majority of data rights for the affected portfolio, the technology developed through this SBIR effort can be gradually fielded over time via Engineering Change Proposals (ECPs). This approach ensures a smooth and cost-effective transition while enabling the Navy to modernize its systems and maintain maritime superiority.",DON26BZ05-NV076,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12859
"Submarine Cabinet Sound Dampening Alternative","As part of the production of electronic cabinets and consoles, noise mitigation products are installed prior to the installation of the electronic components and cabling. The noise mitigation material of choice for decades has been lead septum foam. Reference 1 is the baseline 53711-3203197 lead septum product. This material is installed with a Pressure Sensitive Adhesive (PSA) backing or adhesive to the inner walls of the enclosures. Depending on the complexity of the electronics assembly, in most applications it is difficult or impossible to remove and replace without first complete removal of the electronics and cabling. The electronic assemblies that require this product need to have minimal time offline. Additionally, reassembly of cable harnesses and wiring can result in electrical faults, so complete system testing after reassembly is required. The Navy needs a product that has performance characteristics equivalent or better than today’s lead septum foam product and with a longer life expectancy (exceeding forty years) than the current foam product being used to meet end-of-life of the COLUMBIA/Dreadnought platforms. This product must also meet the Structureborne Noise MILSPEC (MIL-STD-740-2) criteria for testing [Ref 2]]. This material will be installed in Strategic Systems Programs (SSP) Fire Control, NAV, and TEMPALT equipment cabinets onboard COLUMBIA/Dreadnought SSBNs.  In addition to identifying a material with an extended service life, the material attachment methods are expected to have a reduction in time to replace, compared to the 53711-3203197 baseline material.  The final product desired is a structureborne noise mitigation material with a defined efficient attachment method. The final product should be able to be reproduced in sheet sizes equivalent to 53711-3203197 baseline material to support needs from the Navy.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ05-NV080,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12862
"DIRECT TO PHASE II: Cross-domain Interface for Trusted Access & Data Exchange Logic","The Navy (aircraft and ships) requires a bi-directional software CDS guard capable of executing on small form factor, modular, removable, commercially available, and affordable computer systems with PCIe open standard interfaces to increase interoperability. The host hardware must contain, at a minimum, a 10-core processor, 64 GB of DDR5 RAM, 2 TB of SSD storage, and multiple I/O ports, including at least four (4) 1 GigE outputs, four (4) USB outputs, and one HDMI or DisplayPort interface.  The CDS guard software and architecture will support rapid rule set updates enabling more efficient certification and approval processes by the National Security Agency (NSA). A key development objective is to provide an affordable software licensing and updated approach that reduces acquisition and sustainment cost of ownership for the Navy.  The CDS guard software architecture will allow for rapid implementation of business rules provided by the Government as Government Furnished Equipment (GFE) following award (classified content). The CDS guard software architecture must support updating and maintaining the software rule set within a data library maintained by the contractor to facilitate rapid business rule updates required for emergent systems. The CDS guard must support up to 100 Mbps of data parsing, including video streams, tracks, messaging, and voice, and must also support data logging.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor and/or subcontractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVAIR in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ05-DV082,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12864
"Universal Cell Culture Platform for Rapid Establishment of Species-Agnostic Cell Lines and Autonomous Culture Operations","Cell culture is foundational to modern biotechnology, biomanufacturing, drug discovery, vaccine production, regenerative medicine, and genetic engineering. However, most established cell culture protocols, media formulations, and immortalized or pluripotent cell lines exist only for well-characterized ""model"" organisms (e.g., human, mouse, rat).  For many vertebrate species, including those of emerging interest to defense, biosecurity, agricultural, conservation, and public-health stakeholders, no validated cell culture baseline exists.  Filling this gap is critical for gene-drive and genetic-biocontrol research. Gene drives, genetic elements engineered to propagate a trait through a target population faster than standard inheritance, hold significant promise for controlling disease vectors, suppressing invasive or pest species, and protecting agriculture, ecosystems, and public health.  Yet engineering, optimizing, validating and characterizing the safety and efficacy of gene-drive constructs requires robust, species-specific cell lines for the target organism that can enable rapid in vitro assessment of drive activity (e.g., homing/conversion efficiency, off-target activity, and stability) that would otherwise require slow, whole-organism breeding studies.  Establishing cell culture for a novel, non-model species today is a slow and irreproducible process. It requires years of manual optimization across an enormous parameter space (media composition, growth factors, substrate, oxygen tension, temperature, passaging cadence, reprogramming-factor delivery, and differentiation cues), depends heavily on individual operator skill, and frequently fails to transfer between laboratories.  This bottleneck limits the speed for standing up new biological capabilities, constrains the breadth and resilience of the bioeconomy, and directly impedes the responsible development of gene-drive and biocontrol countermeasures.  This Phase II SBIR topic seeks a generalizable platform that fundamentally changes this paradigm by combining (1) species-agnostic biological methods for deriving and maintaining cells from arbitrary vertebrate and invertebrate species, (2) autonomous, closed-loop automation that systematically explores culture parameter space and produces reproducible, transferable protocols and cell lines, and (3) the cellular substrate and engineering workflows needed to build and validate in vitro testbeds for gene-drive technologies in those cell lines.  Proposers must address Component 1 and Component 2 below, and are highly encouraged to address Component 3. A proposer may submit only one proposal to this topic.  Component 1: Cross-Species Universality (Species-Agnostic Cell Culture & iPSC Derivation) Develop generalizable biological methods that allow viable, stable cell lines to be established from diverse, non-model vertebrate and invertebrate species without bespoke, multi-year, per-species protocol development.   Areas of interest include, but are not limited to: •	Universal or rapidly tunable media, substrate, and supplement formulations applicable across taxonomically diverse species (e.g., across multiple vertebrate classes such as mammals and reptiles). •	Species-agnostic strategies for primary cell isolation, immortalization, and/or induced pluripotency (iPSC reprogramming), including reprogramming-factor delivery and selection approaches that generalize across species. •	Methods for establishing, characterizing, and validating pluripotency, viability, genomic stability, and lineage differentiation potential in species lacking established reference reagents or markers. •	A principled, design-of-experiments (DOE) or model-driven framework for rapidly converging on viable culture conditions for a previously uncharacterized species. •	Cryopreservation, banking, and quality-control approaches that ensure cell line stability and reproducibility across time and locations.  Component 2: Autonomous, Closed-Loop Culture Automation Develop automation that performs cell culture operations with minimal human intervention and that systematically and reproducibly drives protocol optimization for new species.   Areas of interest include, but are not limited to: •	Per-vessel or per-well environmental independence (e.g., independent control of temperature, gas composition, and media conditions) to enable many simultaneous, independent optimization experiments. •	Automated execution of routine and complex culture operations, including feeding, passaging, reprogramming, differentiation, imaging, and sampling. •	Integrated, automated imaging, data capture, and analysis (including machine-learning–enabled morphology/health assessment) feeding a closed-loop optimization engine that proposes and executes the next experimental conditions. •	Software, data architecture, and electronic protocol capture that make optimized protocols portable and reproducible across instruments and laboratories. •	Throughput and parallelization sufficient to compress new-species protocol development from years to weeks or months.  Component 3: Gene-Drive and Genetic-Biocontrol Enablement Develop the cellular substrates, engineering workflows, and validation methods needed to characterize gene-drive and related genetic-biocontrol technologies in non-model target species.   Areas of interest include, but are not limited to: •	Establishment of species-specific cell lines (including germline-relevant or developmentally relevant cell types) suitable as a testbed for gene-drive construct development. •	In vitro assays to characterize gene-drive efficiency, homing/conversion rates, off-target effects, fitness costs, and genetic stability prior to any whole-organism work. •	Containment, reversibility, and safeguard strategies (e.g., molecular confinement, reversal/immunizing drives) evaluable at the cellular level.  Proposers addressing Component 3 must explicitly address responsible-research practices, applicable biosafety/biosecurity and regulatory considerations, and appropriate institutional oversight.  All Component 3 work under this topic shall be limited to in vitro / cellular research; no environmental release, and no work resulting in a gene-drive-competent whole organism, is contemplated or permitted under this effort.[BR4.1]  Component Integration Proposers should describe how species-agnostic biology, closed-loop automation, and (where applicable) gene-drive enablement combine into a single coherent platform - e.g., how the automation systematically searches biological parameter space to converge on a validated cell line for a new target species, and how that cell line then serves as a reproducible substrate for gene-drive engineering and in vitro validation.",DPA26BZ05-DV020,BOTH,SBIR,DOD,DARPA,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12873
"Dynamic Open Systems Enclave","The U.S. faces a critical shortfall in its ability to rapidly deploy weapons and software to modernize legacy jets. The existing sensor-to-sensor process is excessively slow, manual and inefficient, hindered by flawed data links and difficult edge processing, failing to meet inflexibility, and critical FY26 modernization requirements that are preventing the U.S. from effectively countering rapidly evolving threats. As more systems gain connectivity, the amount of battlefield data becomes overwhelming, resulting in reduced pilot situational awareness from too much “noise”.   The DAF has identified an opportunity for a software and hardware toolkit that gets the ""Right Data to the Right Shooter, Right Now"" by bypassing slow, manual processes with an open-architecture, high-speed computing enclave engineered to rapidly augment field aircraft with next-generation sensor and data processing capabilities. Legacy airworthiness requirements levied on operational flight programs demand a faster method to insert capabilities in the F-16. When coupled with resilient, high-bandwidth beyond line-of-sight (BLOS) data, a modern OSE can leverage national-level intelligence, sensor data, and algorithms at the edge of warfare thus providing maximum return on Department of War investment. ",DAF26BZ05-DV033,BOTH,SBIR,DOD,USAF,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12883
"Scalable Platform for Enterprise Engineering and Deployment towards Mathematics for the Discovery of Algorithms and Architectures (SPEED DIAL)","The DARPA DIAL [1] program has successfully demonstrated that AI can autonomously discover novel, high-performance algorithms for a range of scientific and engineering problems. Recent efforts have shown that models such as Transformers can rediscover fundamental algorithms like the Kalman Filter, Genetic Programming can rediscover Wavelets, Accelerated Monte Carlo Tree Search can rediscover optimization algorithms, and AI-driven methods can produce optimal meta-solvers for complex physics simulations. However, such advanced discovery engines are currently siloed in research environments; they are not yet deployed for scientists to discover new algorithms before they execute their standard scientific process.This project will address this gap by creating a framework to transition both previously discovered algorithms and the algorithm discovery engines themselves from curiosities to commodities [2-5]. The goal is to create a symbiotic relationship between algorithm developers and domain experts (e.g., engineers, physicists), enabling them to collaboratively discover, build, refine, and deploy algorithms for real-world applications. We will foster a partnership between universities (with deep expertise in algorithmic discovery) and companies (representing the US industrial base) to embed these tools directly into standard workflows, allowing engineers to generate optimal algorithms on-the-fly for their specific constraints.",DPA26TZ05-DV003,BOTH,STTR,DOD,DARPA,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12904
"Novel Technologies for CWMD and Related Threats","DTRA is the lead Department of War Agency responsible for developing science and technology to deter, detect, and defeat weapons of mass destruction (WMD). Our ability to advance Joint Force capabilities to detect WMD threats is challenged by the timelines and costs associated with developing, testing, and producing new military hardware. The limited commercial market for radiological and nuclear detection equipment contributes to these challenges. This open topic is seeking solutions that can help to detect the storage, transfer, or use of WMD (and related materials and delivery systems) through the novel use of signals from existing general-purpose deployed military hardware or non-specialized commercial equipment. Examples could include microphones, cameras, motion detectors, passive infrared, and other common sensors that exist today on a wide variety of military platforms and consumer devices.",DTR26TZ05-NP001,BOTH,STTR,DOD,DTRA,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12905
"High Throughput Wafer Scale Manufacturing of Custom Achromatic Infrared Meta Optics","Meta-optics have recently garnered significant attention for their ability to drastically minimize the size, weight, and complexity of infrared (IR) systems. By substituting bulky, multi-element, three-dimensional curved optics with flat surfaces comprised of subwavelength-scale meta-units, they offer an ideal optical platform for size- and weight-constrained systems, such as portable IR vision systems, UAV surveillance platforms, and wearable electronics. Furthermore, a single meta-optic element can be precisely engineered to extract or encode high-dimensional information (including polarization, wavelength, and wavefront) from incident IR signals, unlocking advanced sensing and beam-shaping capabilities unattainable with conventional refractive components.  One of the primary drawbacks of conventional meta-optic components is chromatic aberration. Several approaches have been developed to increase the operational wavelength bandwidth of meta-optic components, including stacked metalenses [1], phase dispersion engineered achromatic metasurfaces [2], and multi-level metalens systems [3]. To implement achromatic meta-optics, several fabrication methods like electron beam lithography [2], UV immersion lithography [3], nanoimprint lithography [4], grayscale lithography [5], and deep UV projection lithography [6] have been explored. However, current techniques remain bottlenecked by slow throughput, complex alignment steps, expensive tooling, and limited material compatibility. In addition, these demonstrated achromatic metalenses operate mostly in the visible or near-infrared regimes. To overcome these barriers, the Army seeks a cost-effective, high-throughput manufacturing process compatible with standard semiconductor fabrication infrastructure to produce wafer-scale achromatic meta-optic components using high-index, IR-transparent materials optimized for both MWIR and LWIR bands.",OSW26TZ05-NV003,BOTH,STTR,DOD,OSD,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12910
"xTech|Search 10 Competition","The SBIR|STTR Program has aligned technologies that are experiencing rapid commercial traction with critical Army priorities into four portfolios of priority interest for this competition, each with core technology components identified. While xTech|Search encourages submissions aligned to the following SBIR|STTR portfolios and the associated core technology components, the program also welcomes proposals in any other technology domain with the potential to provide a disruptive advantage to the Army:   •	Sensors: Electronic devices used to measure physical parameters, often enabling enhanced automation through the Internet of Things. •	Immersive and Wearables: Integration or extension of the real world through digital or simulated reality, such as augmented, virtual, and mixed reality. Wearables focus on smart electronic devices that can be worn by or attached to the user to gather data or provide insight during mission operations. •	AI/ML: Technology that incorporates human intelligence into machines (AI) and allows machines to learn from data without explicit programming (ML). •	Contested Logistics and Sustainment: Strategic and operational technologies that involve planning and executing the movement and maintenance of forces and materials under adversarial conditions.  Note: The topic listed below is part of the xTech|Search 10 Prize Competition. See the full xTech|Search 10 competition RFI here: https://www.xtech.army.mil/competitions/.    xTech|Search 10 will be used to identify small business concerns that meet the criteria for award. Finalists selected from the xTech|Search 10 prize competition will be the only firms eligible to submit a SBIR proposal under the topic listed above. Proposals submitted to the topic listed above by non-finalists or non-participants of the xTech|Search 10 competition will not be evaluated.   August 26, 2026: White paper submission deadline via link above ",ARM26BX05-NP011,BOTH,SBIR,DOD,ARMY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12919
"NAVSEA Open Topic for Model-Based Systems Engineering (MBSE) Acceleration via Artificial Intelligence or Machine Learning Data Ingestion","The Navy’s AEGIS Combat System was initially developed in the late 1970s and continues in use today, with updates and changes to the core 1970s design. As a result of this multi-year development, much of its system design documentation is only available on paper or in disparate legacy digital formats that are not easily converted to models. Given the continuous development nature of weapons systems, a shift in program focus to modeling would necessarily divert funding away from capability development, critical to meet warfighter needs. As a result, the AEGIS program requires the ability to rapidly and affordably ingest and develop highly accurate system models in disparate formats. The use of model-based systems engineering (MBSE) will enhance the program’s ability to provide functional kinetic capabilities and fewer errors to combat emerging cyber and kinetic threats. A model that can use AI/ML to ingest multiple forms of technical documentation (e.g., digital files, images, Adobe files, written documents, installation and interface configurations, software and hardware bills of material, cable run sheets, IP addresses, ports protocols and services, etc.) and auto generate Systems Modeling Language (SYSML) models sufficient to support a system will be beneficial to all types of Navy systems. There is nothing commercially available that does this.   The solution will be capable of supporting system design, capability development, cyber assessment and authorization, interface design and verification, functional testing, configuration management, reliability calculation and tracking, problem tracking and program certification functions. These solution models shall be sufficient to support cyber assessments and digital engineering capabilities needed for rapidly developing and automated security assessment with minimal investment in manual labor for model validation and verification. It will use AI/ML to digitize, integrate, and ingest system technical documentation and automate development of models with no human input and a high degree of accuracy. The solution must provide for direct conversion to MBSE Models in the CAMEO Magic Draw SYSML modeling environment. Solutions should incorporate how data will be converted and integrated into SYSML models. Finished models may require some human modification to accurately represent system design and functionality but should work seamlessly with Cameo system modeler Magic Draw in SYSML.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BX05-NP003,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12921
"NAVWAR Open Topic for Unified Assured Positioning, Navigation, and Timing Operational Awareness and Decision Support","The United States Navy relies on accurate positioning, navigation, and timing information to support maritime operations, distributed forces, mission planning, and operational decision-making. As the Navy continues to field a growing number of APNT capabilities and related situational awareness systems, operators are increasingly required to interact with multiple interfaces and data sources to understand system health, confidence levels, operational risks, and available response options. This fragmented environment increases cognitive workload, complicates training, and slows decision-making.  The Navy’s GPS-Based Positioning, Navigation, and Timing Service (GPNTS) program continues to enhance APNT resilience through the development and integration of a diverse set of technologies and systems. Examples of these data-types include the opensource All-Source Positioning and Navigation (ASPN) and PNT operating system (pntOS). The Navy seeks innovative approaches capable of ingesting, integrating, processing, and presenting information through GPNTS, to include alternate PNT sources, and related situational awareness systems through a unified operational experience. Of particular interest are solutions that provide operators with rapid understanding of APNT system status, confidence levels, threats, degradations, operational impacts, and recommended courses of action. A common operating picture, “single pane of glass,” decision-support environment, or similar approach may be employed to achieve these objectives. The solutions are to transform fragmented operational data into actionable decision advantage and improve the ability of operators to rapidly sense, understand, and act in contested environments.  This topic does not seek development of new Positioning, Navigation, and Timing (PNT) or APNT sensing technologies, navigation algorithms, timing sources, or hardware systems. Instead, the Department seeks expertise in software architecture, data integration, information management, user experience (UX), human-machine interface (HMI) design, analytics, visualization, and decision-support technologies that improve operator effectiveness. Industry best practices in modern software architecture standards, such as containerization for on-prem isolated runtimes will enable the rapid and secure deployment of this capability while minimizing cybersecurity risks from cross-application dependencies.  Commercial industries such as autonomous transportation, cloud operations, telecommunications, logistics, and industrial automation face similar challenges in integrating information from multiple distributed systems to support rapid operational decision-making. Mature commercial technologies that have demonstrated success in aggregating, correlating, visualizing, and presenting actionable insights from disparate data sources may also be suggested. These may include industrial monitoring systems, transportation management systems, enterprise operations centers, autonomous system operations, telecommunications network management, logistics management platforms, and other environments requiring real-time awareness across disaggregated systems. Solutions do not need to be purpose-built for APNT applications if they can be adapted to address the operational objectives of this topic.  Primary technology areas of interest include, but are not limited to: • Data integration and orchestration platforms • Human-machine interface (HMI) design • User experience (UX) design • Common operating picture technologies • Operational data visualization • Decision-support systems • Workflow automation • Human-centered design methodologies • Data analytics and correlation platforms • AI-enabled operator assistance • Containerized software architectures • Mission management software • Digital engineering environments  Solutions outside these areas that address the stated objective may also be submitted.",DON26BX05-NP004,BOTH,SBIR,DOD,NAVY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12922
"xTech|Search 10 Competition","The SBIR|STTR Program has aligned technologies that are experiencing rapid commercial traction with critical Army priorities into four portfolios of priority interest for this competition, each with core technology components identified. While xTech|Search encourages submissions aligned to the following SBIR|STTR portfolios and the associated core technology components, the program also welcomes proposals in any other technology domain with the potential to provide a disruptive advantage to the Army:   •	Sensors: Electronic devices used to measure physical parameters, often enabling enhanced automation through the Internet of Things. •	Immersive and Wearables: Integration or extension of the real world through digital or simulated reality, such as augmented, virtual, and mixed reality. Wearables focus on smart electronic devices that can be worn by or attached to the user to gather data or provide insight during mission operations. •	AI/ML: Technology that incorporates human intelligence into machines (AI) and allows machines to learn from data without explicit programming (ML). •	Contested Logistics and Sustainment: Strategic and operational technologies that involve planning and executing the movement and maintenance of forces and materials under adversarial conditions.  Note: The topic listed below is part of the xTech|Search 10 Prize Competition. See the full xTech|Search 10 competition RFI here: https://www.xtech.army.mil/competitions/.    xTech|Search 10 will be used to identify small business concerns that meet the criteria for award. Finalists selected from the xTech|Search 10 prize competition will be the only firms eligible to submit a SBIR or STTR proposal under the topic listed above. Proposals submitted to the topic listed above by non-finalists or non-participants of the xTech|Search 10 competition will not be evaluated.   August 26, 2026: White paper submission deadline via link above ",ARM26TX05-NP002,"Phase I",STTR,DOD,ARMY,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12926
"Joint Radar & Communication Waveforms","Conventionally radar sensing and communications require separate hardware on surveillance platforms, which adds complexity and latency. Data-encoded waveforms use waveform diversity or modulated pulses to carry additional information. A Dual-functional Radar Communication (DFRC) scheme is where arbitrary communication info is encoded in pulse shapes rather than sent over a dedicated communication link. Phase I is to design chirp/phase-modulated schemes that encode additional information into a radar pulse. Testing would verify that a receiver can decode this embedded data while correctly processing the radar data without an external datalink. Phase II involves building a hardware prototype, where data-encoded waveforms are transmitted and received. Phase III would apply this technology to existing Service networks and/or emulate existing Service sensor parameters, to study the ability to reduce reliance on secure datalinks separate from the radar sensor. Dual Use: Similar techniques could serve civilian networks, such as embedding vehicle ID or geolocation in automotive radar pulses, or providing redundancy to automatic dependent surveillance broadcast (ADSB) for Federal Aviation Administration (FAA) radars, etc.",OSW26BZ05-DV020,BOTH,SBIR,DOD,OSD,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12847
"Novel Technologies for CWMD and Related Threats","DTRA is the lead Department of War Agency responsible for developing science and technology to deter, detect, and defeat weapons of mass destruction (WMD). Our ability to advance Joint Force capabilities to detect WMD threats is challenged by the timelines and costs associated with developing, testing, and producing new military hardware. The limited commercial market for radiological and nuclear detection equipment contributes to these challenges. This open topic is seeking solutions that can help to detect the storage, transfer, or use of WMD (and related materials and delivery systems) through the novel use of signals from existing general-purpose deployed military hardware or non-specialized commercial equipment. Examples could include microphones, cameras, motion detectors, passive infrared, and other common sensors that exist today on a wide variety of military platforms and consumer devices.",DTR26BZ05-NP001,BOTH,SBIR,DOD,DTRA,"September 23, 2026","August 5, 2026","August 26, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12850
